order_id,product_id,seller_id,price,shipping_charges,shipping_price_ratio
Axfy13Hk4PIk,90K0C1fIyQUf,ZWM05J9LcBSF,223.51,84.65,0.37873025815399763
v6px92oS8cLG,qejhpMGGVcsl,IjlpYfhUbRQs,170.8,23.79,0.13928571428571426
Ulpf9skrhjfm,qUS5d2pEAyxJ,77p2EYxcM9MD,64.4,17.38,0.2698757763975155
bwJVWupf2keN,639iGvMyv0De,jWzS0ayv9TGf,264.5,30.72,0.11614366729678638
Dd0QnrMk9Cj5,1lycYGcsic2F,l1pYW6GBnPMr,779.9,30.66,0.03931273240158995
VjTVGzqe8U6R,TpFZIk33uyGn,XePbD5Ocm6Yk,263.9,40.26,0.15255778704054568
xNba906m4TM1,Y0T4Ca4BXK8U,ftbUjJ6Gsazg,966.9,98.76,0.10214086255041888
VEDSMTavbQwk,IUykT5z5LcPW,RKad98cTxhSb,1534.9,66.9,0.043585901361652225
DzNM8wrcMGFH,0UHKKyYmxWfq,K0qPVGdA91KO,779.0,34.86,0.044749679075738125
NpJz7zF9U1ae,MJ82dNJNiV7U,2a07LobkzHUx,95.03,60.35,0.6350626118067979
mHyhzcUeLGj2,wdV7yJzaz3Su,coi9xkdo66JI,135.91,48.71,0.35839894047531456
StM5K4TLyrt5,V3ksL8RRt2uO,cijw7pZK3THP,37.89,72.67,1.9179202955925045
Q97dFuo1kaq9,vndXhZ66Bwpl,1DpugyRBC5sk,28.82,16.92,0.5870922970159612
07j6mlMhSVtx,2RxPIb6Sjlm1,V74ci3dl1Npa,222.98,31.89,0.1430173109695937
kxa1InBj9gwP,DXG0TFaZjGHO,V8Stg8HdXCTe,36.89,59.0,1.5993494171862292
P5R6jr1qZdh4,YCMS6jUWbEbe,2IxTbqKqgUdA,139.98,14.91,0.10651521645949422
HqV5f8K2UYoA,CBuRjOln99hg,Wk0JznmZOo6h,83.36,6.87,0.08241362763915547
j5rwgECNf14O,tfgKHMdnTKpJ,RsUgQvBvc24M,185.6,21.82,0.1175646551724138
43It0OEHVyJe,l0Q038BC2u3G,5Tuxay3bG3t7,403.9,31.0,0.076751671205744
ddXx4T93MeaI,V84ooqHQgeH2,STj3c88kfxpu,167.0,20.9,0.1251497005988024
NXDsEGbl1pUC,E9OiMOkPkNam,coi9xkdo66JI,318.33,27.57,0.08660823673546321
XupzjrovQeez,kuUbPNBMgk7o,tYbtiPwsAhmw,109.82,50.83,0.4628482972136223
YTztQOHlvuBg,SESkOgF0nWnh,YVBAT3QqF9Qj,89.1,34.6,0.38832772166105506
xfXLgLbCo5BC,06Zem5ml9euJ,l1pYW6GBnPMr,68.0,20.9,0.30735294117647055
gVMP1bPDg69L,ro08JPncYzLh,r7VxefoTVHbb,509.99,21.76,0.04266750328437813
9G9EHbafs7NW,lkPBqpnGNyKe,O04i82YS0uAJ,165.0,9.45,0.05727272727272727
INolFarYfmEO,saFIRNuu8V6H,qeM9i4J3ypy2,100.0,6.79,0.0679
LV0vJIDricq1,uicu7Mpz6xlZ,V3iKL8r9W9NR,127.77,38.66,0.302574939344134
VtQvdStc00Xd,uCnShK796Rpb,OkFthMYQJf3H,692.0,11.36,0.016416184971098265
tOTdnjpI8Udp,tRV6VjdwdLAm,fBHtndjqwueV,295.0,110.14,0.3733559322033898
ebR5efLCCpiq,Hwaj6cncrjwO,9fFFM6RBxCkT,186.98,17.44,0.09327200770135845
YOKYMSjKRCMN,YgnBaIterOVh,FRAkUwkY4tZy,113.49,50.82,0.4477927570711076
57XZHymoJ10l,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,2.75,0.003973988439306358
yUz40ih0jYGt,yZJweQSasMAW,yfNN6zuwypOw,17.6,68.69,3.9028409090909086
IeZYtitws7WU,kgF2KLJ8Ao3M,3Q4DoxWsVAXa,37.84,56.27,1.4870507399577166
ZPkh9QhjG7SK,8kUYWjdaVCxf,oI8R7WsNWWBc,50.21,161.82,3.222863971320454
KJL5uJuZzKxr,QzAC1fDWMbmk,ShJbjTW0ZGor,26.68,29.56,1.1079460269865067
SelY2hgVvruM,R2u3pJSgF7Gr,OnC6iPAbNc8Z,59.88,37.93,0.6334335337341349
0QqNX4xLriht,lSVmLWTOmgtw,rFT13UJuGo0Q,28.69,57.11,1.990589055420007
HNXQI2lmI4AR,bDhxHlkU0GeF,sdO4rR2udeZV,676.97,39.12,0.05778690340783195
C21fWds5zL0W,MeFPAUcWfyAo,5Ja2lH0N2OZt,68.99,27.8,0.4029569502826497
00NEIdaOTIgn,Mh5csf65CB6I,UOGIrJtSldvd,223.87,31.01,0.1385178898467861
XprtHqpLEddw,hfEa3c65LTA2,0Mzbc3aACMOQ,55.83,3.45,0.06179473401397099
ph9ImXx6aMjl,Pb29t2XBfP6Q,2a07LobkzHUx,176.97,35.87,0.20268972142170988
x0fzGpICAZ0w,th6S1t44GAij,B025lNndXwWx,231.27,82.44,0.35646646776495006
YUX432Je58GK,fUSMr8Wo77AI,l1pYW6GBnPMr,820.05,133.37,0.16263642460825561
C3u0OwYQ8nuP,qI5i1mUxo5tX,EGpv4plsYpt1,3.5,2.46,0.7028571428571428
QOaNjVewOOTX,VCOwCoc0C3aj,BUqNP64b1AeL,111.27,49.55,0.44531320212096703
lo8oje94TYb7,f21OMkeWX2ZC,ozjiHoSKwUks,79.49,51.91,0.6530381180022644
O5bLel2qV1yT,mKDM0qdFnNNd,xbr8ZnHWrWgb,189.98,36.97,0.19459943151910727
3ffaVBUrnCxy,aZ1aneUqyncU,XLxN4hdOlYco,475.0,50.28,0.10585263157894736
8g4jF6hPD6tG,ch26pynh9FL6,AHG0TE6bRNNY,31.77,23.6,0.7428391564368902
IBT786JmVIAa,eTlPil30tvIn,3cqSxyYyqpx6,188.8,22.11,0.11710805084745762
Rd6Tke4v8afv,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,49.72,0.12309977717256747
NnoGZNF5rNkD,htOWZMHmysDe,9OW1ODEpHxLL,125.46,13.81,0.11007492427865456
gZMKyNzWXvcQ,GJ4e2xEfaCmh,oI8R7WsNWWBc,31.0,5.59,0.1803225806451613
qcDbJ8F0FIjM,EZlH1lJVfFqj,CQsufpmy1WxU,1332.5,6.58,0.004938086303939962
hyJjgFRI44lc,zTW2bowvLdj9,zyhKQqd3kGqW,129.46,6.87,0.05306658427313456
EfyYNfniuxQP,VO111AOA1QIP,ElULPWS11hxk,161.0,47.55,0.2953416149068323
0MQGlO2eQrNG,mfq8n5MEY4eP,XoReeOEjvEuw,770.0,67.11,0.08715584415584415
zb8Qfa2K9ynp,TdryLJINHQ9O,dQCmV6mcOXGX,109.82,55.54,0.505736659989073
LLWFihCYlP6a,B2udqVNGe7sU,AHG0TE6bRNNY,148.5,27.36,0.18424242424242424
PBvPGqQxwFDV,IsLB3oNMsX7k,K0qPVGdA91KO,31.99,38.26,1.1959987496092528
OQHE8Ve7n811,7IfEqKdKlG9j,16pMg4KJ3hIj,87.9,47.55,0.5409556313993173
Vtkwb0b4JxKg,YG7qG1MQlhjp,3t74Pe6EQyNu,206.57,29.68,0.1436801084378177
4qLswBjaDZnT,nS95HUh6SK36,2a07LobkzHUx,98.62,54.64,0.554045832488339
