order_id,payment_sequential,payment_type,payment_installments,payment_value,payment_diff
Axfy13Hk4PIk,1,credit_card,1,259.14,49.01999999999998
v6px92oS8cLG,1,credit_card,8,382.39,-187.79999999999998
Ulpf9skrhjfm,1,credit_card,4,249.25,-167.47
bwJVWupf2keN,1,credit_card,2,27.79,267.43
Dd0QnrMk9Cj5,1,credit_card,1,76.15,734.41
VjTVGzqe8U6R,1,credit_card,4,1014.75,-710.59
xNba906m4TM1,1,credit_card,1,123.79,941.8700000000001
VEDSMTavbQwk,1,credit_card,5,146.51,1455.2900000000002
DzNM8wrcMGFH,1,wallet,1,1521.75,-707.89
NpJz7zF9U1ae,1,credit_card,6,87.3,68.08
mHyhzcUeLGj2,1,credit_card,2,947.72,-763.1
StM5K4TLyrt5,1,credit_card,1,60.56,50.0
Q97dFuo1kaq9,1,credit_card,10,110.32,-64.57999999999998
07j6mlMhSVtx,1,credit_card,3,818.35,-563.48
kxa1InBj9gwP,1,credit_card,1,254.94,-159.05
P5R6jr1qZdh4,1,credit_card,10,98.42,56.469999999999985
HqV5f8K2UYoA,1,credit_card,3,281.52,-191.28999999999996
j5rwgECNf14O,1,credit_card,2,182.83,24.589999999999975
43It0OEHVyJe,1,credit_card,1,38.35,396.54999999999995
ddXx4T93MeaI,1,credit_card,2,107.01,80.89
NXDsEGbl1pUC,1,credit_card,8,376.61,-30.710000000000036
XupzjrovQeez,1,wallet,1,163.1,-2.450000000000017
YTztQOHlvuBg,8,voucher,1,120.04,3.6599999999999824
xfXLgLbCo5BC,2,credit_card,1,166.71,-77.81
gVMP1bPDg69L,1,wallet,1,97.19,434.56
9G9EHbafs7NW,1,credit_card,1,966.48,-792.03
INolFarYfmEO,1,credit_card,3,50.88,55.910000000000004
LV0vJIDricq1,1,wallet,1,27.16,139.27
VtQvdStc00Xd,1,wallet,1,113.84,589.52
tOTdnjpI8Udp,1,credit_card,6,283.61,121.52999999999997
ebR5efLCCpiq,1,credit_card,1,242.59,-38.170000000000016
YOKYMSjKRCMN,1,credit_card,8,580.07,-415.76000000000005
57XZHymoJ10l,1,credit_card,1,38.51,656.24
yUz40ih0jYGt,1,credit_card,1,212.78,-126.49000000000001
IeZYtitws7WU,1,credit_card,2,279.54,-185.43
ZPkh9QhjG7SK,1,wallet,1,211.11,0.9199999999999875
KJL5uJuZzKxr,1,wallet,1,192.92,-136.68
SelY2hgVvruM,1,wallet,1,416.64,-318.83
0QqNX4xLriht,2,voucher,1,1843.85,-1758.05
HNXQI2lmI4AR,1,wallet,1,247.64,468.45000000000005
C21fWds5zL0W,1,credit_card,7,107.82,-11.030000000000001
00NEIdaOTIgn,1,voucher,1,137.01,117.87
XprtHqpLEddw,1,credit_card,3,358.53,-299.25
ph9ImXx6aMjl,1,voucher,1,98.89,113.95
x0fzGpICAZ0w,1,credit_card,3,29.22,284.49
YUX432Je58GK,1,credit_card,1,203.99,749.43
C3u0OwYQ8nuP,1,credit_card,1,203.19,-197.23
QOaNjVewOOTX,1,credit_card,1,44.82,116.0
lo8oje94TYb7,1,wallet,1,231.27,-99.87000000000003
O5bLel2qV1yT,1,debit_card,1,27.71,199.23999999999998
3ffaVBUrnCxy,1,wallet,1,250.26,275.02
8g4jF6hPD6tG,1,credit_card,1,395.46,-340.09
IBT786JmVIAa,1,credit_card,10,5.28,205.63000000000002
Rd6Tke4v8afv,1,credit_card,1,97.89,355.73
NnoGZNF5rNkD,1,wallet,1,573.56,-434.28999999999996
gZMKyNzWXvcQ,1,voucher,1,457.86,-421.27
qcDbJ8F0FIjM,1,credit_card,10,90.11,1248.97
hyJjgFRI44lc,1,wallet,1,112.49,23.840000000000018
EfyYNfniuxQP,1,credit_card,3,29.68,178.87
0MQGlO2eQrNG,1,credit_card,1,228.29,608.82
zb8Qfa2K9ynp,1,wallet,1,244.85,-79.49000000000001
LLWFihCYlP6a,1,credit_card,6,63.38,112.48000000000002
PBvPGqQxwFDV,1,credit_card,9,386.32,-316.07
OQHE8Ve7n811,1,credit_card,4,273.32,-137.87
Vtkwb0b4JxKg,1,wallet,1,712.65,-476.4
4qLswBjaDZnT,1,wallet,1,47.48,105.78
XXzZNogGt47r,1,credit_card,6,234.19,908.5999999999999
Pp9bMvTIgPDs,1,credit_card,8,61.34,370.94999999999993
zh6skhlWLDTv,1,credit_card,6,913.13,-852.1
z9Zr742C0ASe,1,credit_card,1,214.88,10.969999999999999
AayA35wXEdbB,1,credit_card,3,112.87,74.73999999999998
kuyUMcYHFGqn,1,credit_card,3,133.3,286.36999999999995
efc3TQanhsCE,1,credit_card,1,52.37,36.28000000000001
vFUriN4pz2Bi,1,credit_card,6,269.12,6.139999999999986
1CVQ66HlMRUR,1,wallet,1,419.44,-369.19
n8p0M8Vco4SQ,1,credit_card,9,1.14,164.02
pNSYSUcXxkhB,1,credit_card,2,178.38,-139.67
9AWAHq3HWS6u,1,credit_card,10,208.59,28.680000000000007
DlmtCXqKjfWj,1,wallet,1,261.95,-168.33999999999997
KqH0sXMHdItQ,1,credit_card,1,17.22,522.4399999999999
OiIetUyiPLHG,1,credit_card,1,115.82,49.81999999999999
1pgvtCG93rNg,1,credit_card,10,213.19,2.7900000000000205
qJHIiWyTAizV,1,credit_card,3,127.37,25.47
vSug5AqRo9gE,1,wallet,1,310.2,63.960000000000036
cuAQQZUhTEwb,1,credit_card,10,278.41,282.24999999999994
yYk586LcCRYw,1,credit_card,2,173.29,-143.24
2HQ26ShSPhCA,6,voucher,1,81.16,80.52000000000001
iWJeaLiduq7C,3,voucher,1,353.45,-153.38
1vz8w7BjKsWC,1,credit_card,1,38.76,27.410000000000004
h8KEpd8n4gLL,1,credit_card,3,972.48,16.200000000000045
PC71lF6z451l,1,wallet,1,41.98,46.809999999999995
TySAT9hqufKc,1,credit_card,4,0.48,110.39999999999999
Y72RuFd0mZnO,1,credit_card,3,90.89,0.6600000000000108
JQnDQBQZYwWs,1,credit_card,1,1.51,289.53
qcXjhr3DZYmI,1,credit_card,1,56.79,444.46
3SQKKPbTrStx,1,credit_card,2,108.67,-52.23
IKSlI8m4cXvg,1,credit_card,1,92.44,-37.209999999999994
ubzoVELLkeoU,1,credit_card,2,11.78,480.85
FfjA9YfQ045p,1,wallet,1,106.87,100.13999999999999
pHtHYRoip8Cl,2,voucher,1,206.07,541.3799999999999
yGQcdep9edOe,2,voucher,1,145.48,158.35
O2vxSz1Ohmit,1,wallet,1,1635.51,-927.45
CEHnEFl5VOdj,1,credit_card,2,1334.28,-1235.23
JYzOn3Ha1rNQ,1,credit_card,3,238.24,-146.31
YjpdVhpi6ke5,1,wallet,1,589.2,2266.7200000000003
xmCgQrZviQ4N,1,credit_card,3,215.54,311.84000000000003
DWf9VC5hYd07,1,credit_card,10,197.59,-54.77000000000001
gMRkjz3CrUnd,1,credit_card,3,317.95,-216.12
1sBsJeYdxAI1,1,credit_card,1,1300.57,-862.7099999999999
6NKIoWu3AOZS,1,credit_card,1,26.1,12.699999999999996
fQ58lYglAHz2,1,credit_card,4,88.49,-32.69
0Eab4qSWCSyh,1,credit_card,3,1301.01,-1268.75
RCsCygUAyk50,1,credit_card,2,417.83,71.99000000000001
POj27FIujdqj,1,credit_card,1,99.9,243.51000000000002
lTxzZyJHvbIZ,1,wallet,1,33.88,158.64
PbW1A2IELHIL,1,wallet,1,93.31,-36.82000000000001
RYBegQzM81NV,1,wallet,1,233.0,-97.94999999999999
uIMjdIbbLKuf,1,credit_card,7,34.84,146.96
jj4qFCWCsUSC,1,wallet,1,120.73,1208.92
JBctb1NlmsLO,1,credit_card,3,5.73,53.25
V98wyh8HaJrC,1,credit_card,7,328.5,-311.69
F7SlozxlB98i,1,credit_card,3,383.82,244.75000000000006
M9UeVfUqd5IQ,1,credit_card,10,271.31,-50.44
XfRzUdQ4vXDb,1,credit_card,1,1549.41,-1478.5900000000001
KZdbnccspG6C,1,credit_card,9,142.23,27.590000000000003
aK8BUDSAUnAJ,1,credit_card,4,191.4,-99.12
hdpKYesvGZeq,1,wallet,1,223.58,-130.60000000000002
5jALvFXzAkdi,1,credit_card,2,50.06,125.57
RilBPuEjhaeQ,1,credit_card,3,273.96,-26.91999999999996
Weun8cqlOfrB,1,wallet,1,316.76,-176.32999999999998
1By8LOosrvF2,1,wallet,1,197.91,-26.789999999999992
8XJCljLJRlic,1,credit_card,2,257.5,-26.629999999999995
gQPaVIZUm0jj,2,voucher,1,163.33,-72.89000000000001
k2K9LcU3wvcQ,1,credit_card,2,150.14,63.54000000000002
XQuhwBeGcadT,1,wallet,1,28.64,35.790000000000006
