product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_volume_cm3,weight_volume_ratio
90K0C1fIyQUf,toys,491.0,19.0,12.0,16.0,3648.0,0.13459429824561403
qejhpMGGVcsl,watches_gifts,440.0,18.0,14.0,17.0,4284.0,0.10270774976657329
qUS5d2pEAyxJ,costruction_tools_garden,2200.0,16.0,16.0,16.0,4096.0,0.537109375
639iGvMyv0De,toys,1450.0,68.0,3.0,48.0,9792.0,0.14808006535947713
1lycYGcsic2F,toys,300.0,17.0,4.0,12.0,816.0,0.36764705882352944
TpFZIk33uyGn,toys,2800.0,16.0,31.0,39.0,19344.0,0.1447477253928867
Y0T4Ca4BXK8U,bed_bath_table,3975.0,46.0,12.0,43.0,23736.0,0.16746713852376138
IUykT5z5LcPW,toys,250.0,45.0,15.0,35.0,23625.0,0.010582010582010581
0UHKKyYmxWfq,toys,1200.0,30.0,23.0,30.0,20700.0,0.057971014492753624
MJ82dNJNiV7U,toys,1500.0,30.0,5.0,20.0,3000.0,0.5
wdV7yJzaz3Su,toys,4338.0,17.0,12.0,14.0,2856.0,1.51890756302521
V3ksL8RRt2uO,toys,350.0,21.0,22.0,22.0,10164.0,0.03443526170798898
vndXhZ66Bwpl,toys,500.0,16.0,12.0,22.0,4224.0,0.11837121212121213
2RxPIb6Sjlm1,toys,300.0,38.0,19.0,22.0,15884.0,0.018886930244270964
DXG0TFaZjGHO,toys,200.0,16.0,7.0,11.0,1232.0,0.16233766233766234
YCMS6jUWbEbe,toys,4000.0,45.0,20.0,100.0,90000.0,0.044444444444444446
CBuRjOln99hg,auto,350.0,20.0,15.0,15.0,4500.0,0.07777777777777778
tfgKHMdnTKpJ,toys,425.0,17.0,11.0,14.0,2618.0,0.16233766233766234
l0Q038BC2u3G,health_beauty,4200.0,30.0,10.0,20.0,6000.0,0.7
V84ooqHQgeH2,toys,200.0,20.0,5.0,15.0,1500.0,0.13333333333333333
E9OiMOkPkNam,toys,335.0,17.0,11.0,16.0,2992.0,0.11196524064171123
kuUbPNBMgk7o,toys,2150.0,30.0,19.0,25.0,14250.0,0.15087719298245614
SESkOgF0nWnh,cool_stuff,1600.0,42.0,25.0,15.0,15750.0,0.10158730158730159
06Zem5ml9euJ,toys,175.0,17.0,6.0,13.0,1326.0,0.13197586726998492
ro08JPncYzLh,garden_tools,1650.0,30.0,22.0,30.0,19800.0,0.08333333333333333
